time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,2,2,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,18,1
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,0,0,1,1
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-27 00:00:00+00:00,1,1,31,2
2025-08-28 00:00:00+00:00,16,13,48,4
2025-08-29 00:00:00+00:00,7,6,9,3
2025-08-30 00:00:00+00:00,2,2,4,1
2025-08-31 00:00:00+00:00,4,4,0,0
2025-09-01 00:00:00+00:00,3,3,0,0
2025-09-02 00:00:00+00:00,3,3,1,1
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-04 00:00:00+00:00,1,1,18,1
2025-09-05 00:00:00+00:00,6,5,1,1
2025-09-06 00:00:00+00:00,3,3,0,0
2025-09-07 00:00:00+00:00,5,5,0,0
2025-09-08 00:00:00+00:00,1,1,3,2
2025-09-09 00:00:00+00:00,7,6,12,2
2025-09-10 00:00:00+00:00,5,5,1,1
2025-09-11 00:00:00+00:00,3,3,0,0
2025-09-12 00:00:00+00:00,5,4,1,1
2025-09-13 00:00:00+00:00,3,3,0,0
2025-09-14 00:00:00+00:00,3,3,0,0
2025-09-15 00:00:00+00:00,3,3,0,0
2025-09-16 00:00:00+00:00,13,7,2,1
2025-09-17 00:00:00+00:00,7,5,0,0
2025-09-18 00:00:00+00:00,7,7,0,0
2025-09-19 00:00:00+00:00,7,6,3,1
2025-09-20 00:00:00+00:00,5,5,0,0
2025-09-21 00:00:00+00:00,5,5,0,0
2025-09-22 00:00:00+00:00,4,4,0,0
2025-09-23 00:00:00+00:00,5,5,0,0
2025-09-25 00:00:00+00:00,6,6,0,0
2025-09-26 00:00:00+00:00,2,1,0,0
